Date,Open,High,Low,Close,Volume,Adj Close
2012-03-29,13.17,13.17,12.82,12.84,192300,12.84
2012-03-28,13.10,13.33,12.94,13.32,318200,13.32
2012-03-27,13.36,13.43,13.10,13.10,239900,13.10
2012-03-26,13.28,13.37,13.12,13.37,236500,13.37
2012-03-23,13.10,13.17,12.82,13.15,182900,13.15
2012-03-22,12.97,13.09,12.75,13.09,199800,13.09
2012-03-21,13.25,13.33,13.03,13.06,217800,13.06
2012-03-20,13.27,13.32,13.05,13.25,204200,13.25
2012-03-19,13.25,13.52,13.22,13.32,277700,13.32
2012-03-16,13.60,13.79,13.29,13.33,508600,13.33
2012-03-15,13.46,13.70,13.37,13.68,395300,13.68
2012-03-14,13.50,13.62,13.27,13.43,532100,13.43
2012-03-13,13.16,13.52,13.16,13.51,671600,13.51
2012-03-12,12.98,13.16,12.93,13.12,464500,13.12
2012-03-09,12.57,13.03,12.57,13.01,567800,13.01
2012-03-08,12.11,12.64,12.01,12.53,712600,12.53
2012-03-07,12.05,12.06,11.86,11.98,264000,11.98
2012-03-06,11.91,12.04,11.90,11.96,698700,11.96
2012-03-05,11.94,12.17,11.77,12.03,746400,12.03
2012-03-02,11.85,11.96,11.50,11.68,420800,11.68
2012-03-01,11.74,12.21,11.70,11.84,752900,11.84
2012-02-29,11.78,11.97,11.60,11.61,763900,11.61
2012-02-28,11.91,12.06,11.72,11.82,637400,11.82
2012-02-27,11.94,11.99,11.61,11.90,366700,11.90
2012-02-24,12.18,12.19,11.96,11.99,196500,11.99
2012-02-23,11.98,12.22,11.81,12.20,528100,12.20
2012-02-22,11.97,12.04,11.80,12.02,281700,12.02
2012-02-21,12.26,12.31,11.85,12.00,415800,12.00
2012-02-17,12.38,12.50,12.25,12.37,427600,12.37
2012-02-16,12.10,12.45,11.62,12.33,801800,12.33
2012-02-15,12.35,12.35,11.90,12.14,351800,12.14
2012-02-14,12.15,12.27,12.01,12.26,284800,12.26
2012-02-13,12.20,12.37,12.06,12.19,368300,12.19
2012-02-10,12.36,12.52,12.08,12.19,421500,12.19
2012-02-09,12.68,12.68,12.40,12.47,387100,12.47
2012-02-08,12.85,12.85,12.50,12.67,456600,12.67
2012-02-07,12.77,13.00,12.57,12.87,399200,12.87
2012-02-06,12.79,13.00,12.60,12.79,225900,12.79
2012-02-03,13.00,13.01,12.80,12.85,366300,12.85
2012-02-02,12.52,13.02,12.38,12.81,409700,12.81
2012-02-01,12.44,12.60,12.07,12.52,435000,12.52
2012-01-31,12.31,12.54,12.24,12.31,354000,12.31
2012-01-30,12.10,12.31,11.97,12.22,187600,12.22
2012-01-27,12.10,12.28,11.94,12.21,120300,12.21
2012-01-26,12.21,12.34,11.97,12.12,222000,12.12
2012-01-25,12.17,12.37,11.97,12.18,256000,12.18
2012-01-24,12.06,12.41,11.96,12.20,320100,12.20
2012-01-23,12.10,12.39,11.96,12.13,302100,12.13
2012-01-20,12.11,12.25,11.97,12.04,497100,12.04
2012-01-19,12.16,12.38,12.03,12.17,281600,12.17
2012-01-18,11.98,12.35,11.95,12.14,309100,12.14
2012-01-17,11.82,12.20,11.82,11.95,679800,11.95
2012-01-13,11.71,11.88,11.60,11.74,204900,11.74
2012-01-12,11.72,11.92,11.56,11.85,301600,11.85
2012-01-11,11.51,11.81,11.41,11.66,322400,11.66
2012-01-10,11.24,11.68,11.24,11.59,226100,11.59
2012-01-09,11.75,11.95,10.86,10.99,468300,10.99
2012-01-06,11.10,11.19,10.93,11.03,192400,11.03
2012-01-05,10.99,11.21,10.67,11.12,243200,11.12
2012-01-04,11.30,11.35,10.94,11.02,221500,11.02
2012-01-03,11.19,11.45,10.93,11.39,306200,11.39
2011-12-30,11.72,11.72,10.98,10.99,415900,10.99
2011-12-29,11.62,11.95,11.45,11.76,212000,11.76
2011-12-28,11.61,11.69,11.42,11.57,192500,11.57
2011-12-27,11.35,11.89,11.32,11.65,270300,11.65
2011-12-23,11.43,11.45,11.29,11.41,187000,11.41
2011-12-22,11.23,11.47,11.12,11.44,240900,11.44
2011-12-21,11.19,11.24,10.88,11.23,269700,11.23
2011-12-20,10.65,11.22,10.54,11.19,404200,11.19
2011-12-19,10.27,10.66,10.24,10.48,376100,10.48
2011-12-16,10.17,10.33,9.89,10.24,1070100,10.24
2011-12-15,10.16,10.19,10.08,10.13,315300,10.13
2011-12-14,10.00,10.09,9.89,10.07,319800,10.07
2011-12-13,10.03,10.20,9.89,10.08,266000,10.08
2011-12-12,9.80,10.03,9.77,10.03,171400,10.03
2011-12-09,9.74,9.98,9.50,9.93,235000,9.93
2011-12-08,9.70,9.79,9.69,9.73,288000,9.73
2011-12-07,9.73,9.83,9.55,9.77,201600,9.77
2011-12-06,9.81,9.89,9.74,9.78,271500,9.78
2011-12-05,9.75,9.86,9.56,9.80,274600,9.80
2011-12-02,9.69,9.70,9.47,9.56,119900,9.56
2011-12-01,9.65,9.66,9.43,9.53,252400,9.53
2011-11-30,9.50,9.73,9.38,9.64,610000,9.64
2011-11-29,9.09,9.45,9.01,9.41,1261200,9.41
2011-11-28,8.76,9.22,8.76,9.09,524700,9.09
2011-11-25,8.32,8.47,8.28,8.28,78500,8.28
2011-11-23,8.40,8.48,8.30,8.36,165900,8.36
2011-11-22,8.46,8.60,8.33,8.44,116000,8.44
2011-11-21,8.46,8.59,8.44,8.47,160800,8.47
2011-11-18,8.49,8.67,8.38,8.63,204800,8.63
2011-11-17,8.57,8.73,8.45,8.51,171200,8.51
2011-11-16,8.70,8.89,8.60,8.64,200200,8.64
2011-11-15,8.60,8.93,8.58,8.82,91000,8.82
2011-11-14,8.76,8.91,8.60,8.66,118800,8.66
2011-11-11,8.77,8.86,8.65,8.83,144000,8.83
2011-11-10,8.71,8.73,8.55,8.67,188100,8.67
2011-11-09,8.71,8.83,8.56,8.57,199300,8.57
2011-11-08,8.71,8.97,8.71,8.95,220100,8.95
2011-11-07,8.58,8.65,8.38,8.63,174000,8.63
2011-11-04,8.44,8.60,8.33,8.59,203000,8.59
2011-11-03,8.81,8.81,8.47,8.55,238800,8.55
2011-11-02,8.53,8.69,8.50,8.69,237800,8.69
2011-11-01,8.46,8.66,8.34,8.39,285400,8.39
2011-10-31,8.82,8.94,8.71,8.76,212600,8.76
2011-10-28,8.64,8.95,8.23,8.91,416500,8.91
2011-10-27,9.25,9.32,8.95,9.22,438000,9.22
2011-10-26,8.86,8.97,8.58,8.93,132100,8.93
2011-10-25,8.95,9.07,8.65,8.70,123300,8.70
2011-10-24,9.00,9.04,8.86,9.00,163600,9.00
2011-10-21,8.81,8.98,8.78,8.97,163800,8.97
2011-10-20,8.78,8.78,8.45,8.67,117300,8.67
2011-10-19,9.04,9.24,8.72,8.78,150400,8.78
2011-10-18,8.88,9.09,8.76,9.05,219900,9.05
2011-10-17,8.99,9.02,8.30,8.84,148000,8.84
2011-10-14,9.05,9.10,8.91,9.08,127900,9.08
2011-10-13,8.84,8.98,8.78,8.93,84900,8.93
2011-10-12,8.83,8.95,8.80,8.91,238800,8.91
2011-10-11,8.60,8.81,8.60,8.74,178800,8.74
2011-10-10,8.59,8.70,8.43,8.68,207100,8.68
2011-10-07,8.65,8.65,8.27,8.40,198700,8.40
2011-10-06,8.49,8.63,8.42,8.61,169100,8.61
2011-10-05,8.58,8.68,8.40,8.49,222600,8.49
2011-10-04,7.97,8.58,7.97,8.56,473600,8.56
2011-10-03,8.27,8.44,8.04,8.04,347900,8.04
2011-09-30,8.45,8.60,8.34,8.36,202800,8.36
2011-09-29,8.60,8.65,8.34,8.61,170800,8.61
2011-09-28,8.69,8.71,8.37,8.37,275500,8.37
2011-09-27,8.70,8.88,8.58,8.69,267600,8.69
2011-09-26,8.52,8.69,8.26,8.49,264900,8.49
2011-09-23,8.63,8.77,8.20,8.42,367200,8.42
2011-09-22,8.75,8.89,8.49,8.63,348000,8.63
2011-09-21,9.11,9.25,8.75,8.76,245800,8.76
2011-09-20,9.40,9.45,9.12,9.12,178600,9.12
2011-09-19,9.60,9.81,9.32,9.37,235800,9.37
2011-09-16,9.70,9.85,9.48,9.81,583500,9.81
2011-09-15,9.58,9.70,9.38,9.70,132300,9.70
2011-09-14,9.41,9.60,9.28,9.50,144400,9.50
2011-09-13,9.28,9.34,9.12,9.31,169000,9.31
2011-09-12,8.93,9.32,8.93,9.24,160000,9.24
2011-09-09,9.28,9.39,8.99,9.09,265100,9.09
2011-09-08,9.67,9.70,9.35,9.40,191300,9.40
2011-09-07,9.30,9.70,9.24,9.70,428800,9.70
2011-09-06,9.00,9.16,8.95,9.13,258500,9.13
2011-09-02,9.16,9.40,9.02,9.11,237700,9.11
2011-09-01,9.56,9.70,9.29,9.33,215400,9.33
2011-08-31,9.60,9.65,9.45,9.56,227500,9.56
2011-08-30,9.58,9.64,9.21,9.57,268000,9.57
2011-08-29,9.35,9.68,9.33,9.67,472400,9.67
2011-08-26,9.00,9.32,9.00,9.27,151000,9.27
2011-08-25,9.31,9.47,9.00,9.07,175400,9.07
2011-08-24,9.20,9.47,9.16,9.25,386800,9.25
2011-08-23,8.90,9.34,8.88,9.26,280000,9.26
2011-08-22,9.03,9.03,8.70,8.85,238800,8.85
2011-08-19,8.86,9.19,8.76,8.83,255100,8.83
2011-08-18,9.13,9.20,8.92,9.02,371300,9.02
2011-08-17,9.34,9.45,9.18,9.37,165700,9.37
2011-08-16,9.32,9.42,9.16,9.33,259300,9.33
2011-08-15,9.21,9.39,9.14,9.39,298200,9.39
2011-08-12,9.18,9.20,8.93,9.16,174500,9.16
2011-08-11,8.87,9.28,8.76,9.07,399700,9.07
2011-08-10,8.97,9.11,8.63,8.80,623800,8.80
2011-08-09,8.80,9.41,8.39,9.24,588500,9.24
2011-08-08,8.94,9.45,8.60,8.60,476300,8.60
2011-08-05,9.27,9.43,8.92,9.20,285800,9.20
2011-08-04,9.28,9.44,9.17,9.17,368200,9.17
2011-08-03,9.27,9.50,9.10,9.50,583200,9.50
2011-08-02,9.31,9.57,9.22,9.23,366500,9.23
2011-08-01,9.69,9.73,9.39,9.51,310100,9.51
2011-07-29,9.32,9.72,9.22,9.53,514600,9.53
2011-07-28,8.96,9.23,8.69,9.21,288400,9.21
2011-07-27,9.31,9.31,9.04,9.07,193300,9.07
2011-07-26,9.37,9.43,9.24,9.39,109900,9.39
2011-07-25,9.31,9.60,9.13,9.38,242500,9.38
2011-07-22,9.48,9.48,9.31,9.46,157600,9.46
2011-07-21,9.42,9.52,9.34,9.51,154600,9.51
2011-07-20,9.48,9.48,9.26,9.42,82700,9.42
2011-07-19,9.34,9.50,9.34,9.49,148900,9.49
2011-07-18,9.34,9.41,9.17,9.30,140400,9.30
2011-07-15,9.28,9.38,9.21,9.35,196700,9.35
2011-07-14,9.48,9.48,9.22,9.23,167900,9.23
2011-07-13,9.35,9.50,9.22,9.44,250000,9.44
2011-07-12,9.29,9.44,9.20,9.30,195000,9.30
2011-07-11,9.34,9.42,9.24,9.34,205900,9.34
2011-07-08,9.35,9.45,9.29,9.42,194100,9.42
2011-07-07,9.49,9.54,9.40,9.48,301000,9.48
