98-99, DAL, 47, 24, 20.4, 0.405, 0.206, 0.773, 0.9, 2.6, 3.4, 1.0, 0.6, 0.6, 1.55, 2.23, 8.2, 
99-00, DAL, 82, 81, 35.8, 0.461, 0.379, 0.830, 1.2, 5.2, 6.5, 2.5, 0.8, 0.8, 1.72, 3.12, 17.5, 
00-01, DAL, 82, 82, 38.1, 0.474, 0.387, 0.838, 1.5, 7.7, 9.2, 2.1, 1.0, 1.2, 1.90, 2.99, 21.8, 
01-02, DAL, 76, 76, 38.0, 0.477, 0.397, 0.853, 1.6, 8.4, 9.9, 2.4, 1.1, 1.0, 1.91, 2.92, 23.4, 
02-03, DAL, 80, 80, 39.0, 0.463, 0.379, 0.881, 1.0, 8.9, 9.9, 3.0, 1.4, 1.0, 1.90, 2.58, 25.1, 
03-04, DAL, 77, 77, 37.9, 0.462, 0.341, 0.877, 1.2, 7.5, 8.7, 2.7, 1.2, 1.4, 1.75, 2.81, 21.8, 
04-05, DAL, 78, 78, 38.7, 0.459, 0.399, 0.869, 1.2, 8.5, 9.7, 3.1, 1.2, 1.5, 2.26, 2.81, 26.1, 
05-06, DAL, 81, 81, 38.1, 0.480, 0.406, 0.901, 1.4, 7.6, 9.0, 2.8, 0.7, 1.0, 1.93, 2.02, 26.6, 
06-07, DAL, 78, 78, 36.2, 0.502, 0.416, 0.904, 1.6, 7.3, 8.9, 3.4, 0.7, 0.8, 2.14, 2.19, 24.6, 
07-08, DAL, 77, 77, 36.0, 0.479, 0.359, 0.879, 1.2, 7.3, 8.6, 3.5, 0.7, 0.9, 2.08, 2.57, 23.6, 
08-09, DAL, 81, 81, 37.7, 0.479, 0.359, 0.890, 1.1, 7.3, 8.4, 2.4, 0.8, 0.8, 1.94, 2.17, 25.9, 
09-10, DAL, 81, 80, 37.5, 0.481, 0.421, 0.915, 1.0, 6.7, 7.7, 2.7, 0.9, 1.0, 1.84, 2.57, 25.0, 
10-11, DAL, 73, 73, 34.3, 0.517, 0.393, 0.892, 0.7, 6.3, 7.0, 2.6, 0.5, 0.6, 1.88, 2.36, 23.0, 
11-12, DAL, 62, 62, 33.5, 0.457, 0.368, 0.896, 0.7, 6.0, 6.8, 2.2, 0.7, 0.5, 1.89, 2.08, 21.6, 
