96-97, LAL, 71, 6, 15.5, 0.417, 0.375, 0.819, 0.7, 1.2, 1.9, 1.3, 0.7, 0.3, 1.58, 1.44, 7.6, 
97-98, LAL, 79, 1, 26.0, 0.428, 0.341, 0.794, 1.0, 2.1, 3.1, 2.5, 0.9, 0.5, 1.99, 2.28, 15.4, 
98-99, LAL, 50, 50, 37.9, 0.465, 0.267, 0.839, 1.1, 4.2, 5.3, 3.8, 1.4, 1.0, 3.14, 3.06, 19.9, 
99-00, LAL, 66, 62, 38.2, 0.468, 0.319, 0.821, 1.6, 4.7, 6.3, 4.9, 1.6, 0.9, 2.76, 3.33, 22.5, 
00-01, LAL, 68, 68, 40.9, 0.464, 0.305, 0.853, 1.5, 4.3, 5.9, 5.0, 1.7, 0.6, 3.24, 3.26, 28.5, 
01-02, LAL, 80, 80, 38.3, 0.469, 0.250, 0.829, 1.4, 4.1, 5.5, 5.5, 1.5, 0.4, 2.79, 2.85, 25.2, 
02-03, LAL, 82, 82, 41.5, 0.451, 0.383, 0.843, 1.3, 5.6, 6.9, 5.9, 2.2, 0.8, 3.51, 2.66, 30.0, 
03-04, LAL, 65, 64, 37.6, 0.438, 0.327, 0.852, 1.6, 3.9, 5.5, 5.1, 1.7, 0.4, 2.63, 2.71, 24.0, 
04-05, LAL, 66, 66, 40.7, 0.433, 0.339, 0.816, 1.4, 4.5, 5.9, 6.0, 1.3, 0.8, 4.09, 2.64, 27.6, 
05-06, LAL, 80, 80, 41.0, 0.450, 0.347, 0.850, 0.9, 4.4, 5.3, 4.5, 1.8, 0.4, 3.13, 2.91, 35.4, 
06-07, LAL, 77, 77, 40.8, 0.463, 0.344, 0.868, 1.0, 4.7, 5.7, 5.4, 1.4, 0.5, 3.31, 2.66, 31.6, 
07-08, LAL, 82, 82, 38.9, 0.459, 0.361, 0.840, 1.1, 5.2, 6.3, 5.4, 1.8, 0.5, 3.13, 2.77, 28.3, 
08-09, LAL, 82, 82, 36.1, 0.467, 0.351, 0.856, 1.1, 4.1, 5.2, 4.9, 1.5, 0.4, 2.56, 2.30, 26.8, 
09-10, LAL, 73, 73, 38.8, 0.456, 0.329, 0.811, 1.1, 4.3, 5.4, 5.0, 1.6, 0.3, 3.19, 2.56, 27.0, 
10-11, LAL, 82, 82, 33.9, 0.451, 0.323, 0.828, 1.0, 4.1, 5.1, 4.7, 1.2, 0.2, 2.96, 2.10, 25.3, 
11-12, LAL, 58, 58, 38.5, 0.430, 0.303, 0.845, 1.1, 4.3, 5.4, 4.6, 1.2, 0.3, 3.52, 1.81, 27.9, 
